STT,Name,Price,RAM,Hard Drive,Weight,Brand Rank,CPU Rank,GPU Rank,Inch,Demand
113,Laptop Dell Inspiron 15 3530 i5 1335U/8GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U085W11BLU),17990000,8,512,1.66,5,29,18,15.6,1
114,Laptop Asus Vivobook X515EA i5 1135G7/16GB/512GB/Chuột/Win11 (EJ4155W),13990000,16,512,1.8,14,10,15,15.6,1
115,Laptop HP 245 G10 R5 7520U/8GB/512GB/Win11 (8F155PA),11990000,8,512,1.36,8,9,20,14,1
116,Laptop Lenovo V15 G3 IAP i5 1235U/8GB/512GB/Win11 (82TT0064VN),11190000,8,512,1.7,10,19,18,15.6,1
117,Laptop Asus VivoBook X515MA N4020/4GB/256GB/Win11 (BR480W),6490000,4,256,1.8,14,1,18,15.6,1
118,Laptop Dell Inspiron 16 5620 i7 1255U/8GB/512GB/OfficeHS/Win11 (N6I7110W1),22790000,8,512,1.87,5,20,18,16,1
119,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),14190000,8,512,1.46,15,10,15,14,1
120,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),13490000,16,512,1.63,14,9,20,15.6,1
121,Laptop MSI Modern 15 B12MO i5 1235U/8GB/512GB/Win11 (625VN),12990000,8,512,1.7,12,19,15,15.6,1
122,Laptop Dell Vostro 3520 i3 1215U/8GB/256GB/OfficeHS/Win11 (V5I3614W1),11790000,8,256,1.83,5,15,18,15.6,1
123,Laptop Lenovo IdeaPad 1 15AMN7 R5 7520U/8GB/256GB/Win11 (82VG0061VN),10490000,8,256,1.58,10,9,19,15.6,1
124,Laptop Lenovo Ideapad 3 15IAU7 i3 1215U/8GB/512GB/Win11 (82RK001MVN),10290000,8,512,1.63,10,15,18,15.6,1
125,Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/8GB/256GB/10-core GPU,29890000,8,256,1.4,1,24,24,13.3,1
126,Laptop HP Pavilion X360 14 ek1049TU i5 1335U/16GB/512GB/Touch/Pen/Win11 (80R27PA),21990000,16,512,1.53,8,29,15,14,1
127,Laptop Dell Inspiron 16 5620 i5 1235U/8GB/256GB/OfficeHS/Win11 (P1WKN),16990000,8,256,1.87,5,19,18,16,1
128,Laptop Lenovo V14 G3 IAP i5 1235U/8GB/256GB/Win11 (82TS005RVN),10590000,8,256,1.43,10,19,18,14,1
129,Laptop Lenovo Ideapad 3 15ITL6 i3 1115G4/8GB/512GB/Win11 (82H803SFVN),8990000,8,512,1.65,10,7,18,15.6,1
130,Laptop Acer Aspire 3 A315 57 379K i3 1005G1/4GB/256GB/Win11 (NX.KAGSV.001),7390000,4,256,1.7,15,6,18,15.6,1
131,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),18990000,16,512,1.7,14,23,15,15.6,1
132,Laptop Lenovo Ideapad 5 14IAL7 i5 1235U/8GB/512GB/Win11 (82SD0060VN),16390000,8,512,1.44,10,19,15,14,1
133,Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/1TB/Win11 (83ER000FVN),15990000,16,1024,1.62,10,30,18,15.6,1
